contestId,index,name,rating,tags,solvedCount,statement,tags_list,n_tags,top_tag,statement_length,statement_words,has_math,name_length,name_words,log_solved,tag_binary search,tag_constructive algorithms,tag_brute force,tag_greedy,tag_bitmasks,tag_combinatorics,tag_data structures,tag_dp,tag_math,tag_implementation
2218,G,"The 67th Iteration of ""Counting is Fun""",1800,"['implementation', 'math']",3350,"Macaque has taken you to his habitat, shown you his job, and even forced you to do his homework for him. While it might have not been easy for you, Macaque has grown to like you and even, possibly, harbour some gratitude towards you. However, all is not finished, for Macaque has to solve his most difficult problem yet. Solving this is a matter of life or death, and determines whether Macaque can finally reach enlightenment and retreat to solitude in an organ loft for the rest of eternity. Good luck.
You are given two integers $$$n$$$ and $$$m$$$, and an array $$$b$$$ of length $$$n$$$ ($$$0 \le b_i  \lt  m$$$). It is guaranteed that every integer from $$$0$$$ to $$$m-1$$$ appears in $$$b$$$ at least once.
A group of $$$n$$$ people are standing in a line, in fixed positions numbered $$$1, 2, \dots, n$$$. They all want to sit down, but some are too socially awkward to do so immediately.
For some arbitrary array $$$a$$$ of length $$$n$$$ ($$$0 \le a_i  \lt  n$$$), each person $$$i$$$ has a social awkwardness level $$$a_i$$$. Consider the seating process which evolves in
discrete units of time
$$$0, 1, 2, \dots$$$ as follows:
If $$$a_i = 0$$$, person $$$i$$$ will sit down at time $$$0$$$.
Otherwise ($$$a_i  \gt  0$$$), person $$$i$$$ will sit down at the beginning of a time unit $$$t$$$ if
both
of the following conditions are satisfied:
At least $$$a_i$$$ people have already sat down
strictly before
time $$$t$$$.
At least one of their neighbors (person $$$i - 1$$$ or $$$i + 1$$$, if they exist) has already sat down
strictly before
time $$$t$$$.
At the beginning of every unit of time, each standing person checks these conditions. All people for whom the conditions are satisfied sit down
simultaneously
, and then the process advances to the next unit of time.
For each $$$i$$$, the value $$$b_i$$$ denotes the time unit at which person $$$i$$$ sits down. Your task is to determine
how many distinct arrays $$$a$$$
are consistent with the given array $$$b$$$. Since this number can be very large, output it modulo $$${\color{red}{676767677}}$$$.
Please note that this problem uses an unusual modulo
, and that $$$676767677$$$ is prime.","['implementation', 'math']",2,implementation,2158,370,1,39,7,8.11701408773731,0,0,0,0,0,0,0,0,0,1
2218,F,The 67th Tree Problem,1500,"['constructive algorithms', 'implementation', 'trees']",6830,"Now that PMOI season is over (Cloud emerged victorious), Macaque can continue on his journey towards enlightenment. The problems he is to solve are getting harder, the burden of the past lives is getting heavier, and you are losing your free will at such a rate that you struggle to remember the last time you did anything out of your own volition without being coerced by Macaque. The only upside for you is that Macaque is giving you a free tour of his current habitat up in the trees once you solve the following problem for him.
You are given two integers $$$x$$$ and $$$y$$$.
Your task is to construct a tree with $$$x + y$$$ nodes, rooted at node $$$1$$$, such that:
Exactly $$$x$$$ nodes in the tree have
even
subtree$$$^{\text{∗}}$$$ size.
Exactly $$$y$$$ nodes in the tree have
odd
subtree size.
If multiple valid trees exist, you may output any of them. If there is no such tree, output
NO
.
$$$^{\text{∗}}$$$The subtree of a vertex $$$u$$$ is the set of all vertices that pass through $$$u$$$ on a simple path to the root (including $$$u$$$ itself).","['constructive algorithms', 'implementation', 'trees']",3,constructive algorithms,1060,189,1,21,4,8.82922635473185,0,1,0,0,0,0,0,0,0,0
2218,E,The 67th XOR Problem,1200,"['binary search', 'bitmasks', 'brute force']",13308,"The PMOI wasn't even that awful - word on the street was that the problems were decent, and even (heaven forbid) enjoyable! To Macaque's dismay, however, three unruly participants (Cloud, ChatGBT and Grook) started cheating using their perfect memory of the OEIS. What utter rapscallions! Suddenly, Macaque had to act fast, and devise a problem that these three could not feasibly cheat on. You, demoted from the rank of his companion to his wretched slave, have been enlisted to test.
You are given an array $$$a$$$, initially containing $$$n$$$ non-negative integers.
You perform the following operation exactly $$$n-1$$$ times:
Select an index $$$i$$$ of $$$a$$$ ($$$1 \leq i \leq |a|$$$, where $$$|a|$$$ denotes the current length of $$$a$$$). Let $$$x = a_i$$$.
Set $$$a_j = a_j \oplus x$$$ for all $$$1 \leq j \leq |a|$$$, where $$$\oplus$$$ denotes the
bitwise XOR operation
.
Remove $$$a_i$$$ from the array.
It can be shown that after $$$n-1$$$ operations, exactly one element remains in the array. Your task is to determine the maximum possible value of this final remaining element if you perform the operations optimally.","['binary search', 'bitmasks', 'brute force']",3,binary search,1133,183,1,20,4,9.496195777086555,1,0,0,0,0,0,0,0,0,0
2218,D,The 67th OEIS Problem,1100,"['constructive algorithms', 'greedy', 'math', 'number theory']",17556,"Macaque, being a terrible problemsetter, decided to search for funny sequences on the OEIS$$$^{\text{∗}}$$$ one day, so he could gain inspiration for his doomed problemsetting job for the Pan-Mammalian Olympiad in Informatics (PMOI). To his delight, he found one, and thought it would be funny to make you, his loyal tester, solve it:
Construct a sequence $$$a$$$ containing $$$n$$$ integers such that $$$\operatorname{gcd}(a_i, a_{i+1})$$$ $$$^{\text{†}}$$$ is distinct over all $$$1 \leq i \leq n - 1$$$. It is guaranteed that at least one sequence $$$a$$$ exists.
$$$^{\text{∗}}$$$Online Encyclopedia of Integer Sequences, the favourite website of math nerds, overly astute testers, and insufficiently rigorous coordinators.
$$$^{\text{†}}$$$$$$\operatorname{gcd}(x,y)$$$ refers to the
greatest common divisor
of integers $$$x$$$ and $$$y$$$.","['constructive algorithms', 'greedy', 'math', 'number theory']",4,constructive algorithms,845,116,1,21,4,9.773208009769208,0,1,0,0,0,0,0,0,0,0
2218,C,The 67th Permutation Problem,800,"['constructive algorithms', 'greedy', 'math']",25230,"Upon arriving at school, Macaque was rather brusquely greeted by his friend, AG-88301, the latter having skived off his homework due to spending the entire night yapping to an unsuspecting stranger about his groundbreaking work on a proof of the Collatz conjecture and his $$$67$$$-th unreciprocated love interest. So, as had become customary, AG-88301, with ever decreasing levels of gratitude or appreciation, made Macaque do his homework for him. At this point, Macaque had had enough, and turned to his minions (you guys!) to solve AG-88301's homework task.
You are given an integer $$$n$$$. You must construct a permutation$$$^{\text{∗}}$$$ of length $$$3n$$$ such that, if you partition the permutation into $$$n$$$ contiguous blocks with $$$3$$$ elements, the sum of the medians$$$^{\text{†}}$$$ of these blocks is
maximised
.
More formally, you must construct a permutation $$$p$$$ of length $$$3n$$$ such that $$$\sum_{i=0}^{n-1}\operatorname{median}(a_{3i+1},a_{3i+2},a_{3i+3})$$$ is maximised. If there are multiple possible $$$p$$$, output any.
$$$^{\text{∗}}$$$A permutation of length $$$n$$$ is an array consisting of $$$n$$$ distinct integers from $$$1$$$ to $$$n$$$ in arbitrary order. For example, $$$[2,3,1,5,4]$$$ is a permutation, but $$$[1,2,2]$$$ is not a permutation ($$$2$$$ appears twice in the array), and $$$[1,3,4]$$$ is also not a permutation ($$$n=3$$$ but there is $$$4$$$ in the array).
$$$^{\text{†}}$$$The median of an array $$$b$$$ containing $$$3$$$ elements is the $$$2$$$-nd element after $$$b$$$ is sorted in non-decreasing order.","['constructive algorithms', 'greedy', 'math']",3,constructive algorithms,1569,224,1,28,4,10.13582867620438,0,1,0,0,0,0,0,0,0,0
2218,B,The 67th 6-7 Integer Problem,800,"['greedy', 'math']",31930,"So, Macaque has passed his first challenge (and is not acknowledging your help whatsoever). After all, it was only given to him so he could engage in his greatest pleasure — crunching on desiccated freezedried hamburgers and yelling 'trivial' at the screen. However, he has another, much more important task ahead of him, and he has once again enlisted you to help him.
You are given $$$7$$$ integers $$$a_1, a_2, \ldots, a_7$$$.
You must
negate
$$$6$$$ out of the $$$7$$$ integers (that is, multiply them by $$$-1$$$). Over all possible ways to negate $$$6$$$ out of the $$$7$$$ integers, find the
maximum
possible sum of $$$a$$$.","['greedy', 'math']",2,greedy,631,106,1,28,5,10.371332603727652,0,0,0,1,0,0,0,0,0,0
2218,A,The 67th Integer Problem,800,"['brute force', 'games', 'implementation', 'math']",32964,"Welcome to the New World, O Esteemed Earthly Visitor. You've been summoned by Macaque, a primate with four legs, a god complex and a terminal addiction to the word ""trivial"". You are Undertaking a Journey of Great Importance. Such Incredible Importance. No Journey Will EVER be as IMPORTANT as this one (and nothing this narrator says will sound so distinctly... orange again). You are implored to cooperate with Macaque, for his wrath (and joblessness) are unending. There is no room for error or incompetence. Lousiness shall be met with the full force of the law.
Macaque is given an integer $$$x$$$. Your task is to choose an integer $$$y$$$ such that the value of $$$\operatorname{min}(x, y)$$$$$$^{\text{∗}}$$$ is
maximized
.
If there are multiple valid $$$y$$$, you may output any of them.
$$$^{\text{∗}}$$$$$$\operatorname{min}(x, y)$$$ is defined as the minimum of integers $$$x$$$ and $$$y$$$.","['brute force', 'games', 'implementation', 'math']",4,brute force,903,143,1,24,4,10.4032016715474,0,0,1,0,0,0,0,0,0,0
2217,H,Closer,2800,"['dfs and similar', 'dp', 'trees']",176,"At your networking event, there are $$$n$$$ deals waiting to happen.
Each deal needs exactly two people, and every person is waiting for exactly one deal. So there are $$$2n$$$ people in total, and each deal ID $$$1 \ldots n$$$ appears on exactly two people's badges.
For corporate reasons, the organisers place each person on a unique vertex in a tree with $$$2n$$$ vertices. Vertex $$$v$$$ hosts a person with badge $$$a_v$$$.
Deal $$$i$$$ is sealed if, when the event begins, the two people with badge $$$i$$$ are on adjacent vertices. Each sealed deal contributes $$$w_i$$$ to your earnings.
Before the event starts, you are allowed one reshuffle:
Choose any (potentially empty) set of edges such that no two chosen edges share a vertex (i.e., the edges form a matching).
For every chosen edge $$$(u, v)$$$, swap the people at vertices $$$u$$$ and $$$v$$$.
After reshuffling, what is the maximum you can earn from this event?","['dfs and similar', 'dp', 'trees']",3,dfs and similar,929,156,1,6,1,5.176149732573829,0,0,0,0,0,0,0,0,0,0
2217,G,Down the Pivot,2600,"['combinatorics', 'dp', 'math', 'trees']",304,"Consider binary trees where each node has at most two children, and each node is labeled with either $$$0$$$ or $$$1$$$.
In one operation, you can flip all the labels on any simple path that passes through the root. Flipping a label means changing $$$0$$$ to $$$1$$$ and $$$1$$$ to $$$0$$$. Note that a path of length $$$1$$$ containing only the root is also allowed.
The
cost
of such a binary tree is defined as the minimum number of operations required to make all labels in the tree equal to $$$0$$$.
Given two integers $$$n$$$ and $$$k$$$, count the number of distinct labeled binary trees with exactly $$$n$$$ nodes and cost exactly $$$k$$$. Since the answer can be very large, output it modulo $$$10^9 + 7$$$.
Two binary trees are considered distinct if they have different structures, or if they have the same structure but differ in at least one node's label.","['combinatorics', 'dp', 'math', 'trees']",4,combinatorics,867,152,1,14,3,5.720311776607412,0,0,0,0,0,1,0,0,0,0
2217,F,Interval Game,2300,"['bitmasks', 'combinatorics', 'constructive algorithms', 'dp', 'games', 'greedy', 'math', 'probabilities']",642,"Alice and Bob are playing a game involving two intervals, $$$[l_1, r_1]$$$ and $$$[l_2, r_2]$$$, constrained by integers $$$x_1$$$ and $$$x_2$$$ respectively. The intervals satisfy $$$1 \le l_1 \le r_1 \le x_1$$$ and $$$1 \le l_2 \le r_2 \le x_2$$$.
The game is played as follows. In one turn, a player must choose one of the two intervals (let's say the $$$i$$$-th interval $$$[l_i, r_i]$$$) and perform
exactly one
of the following operations:
Replace $$$l_i$$$ with a strictly smaller integer $$$l'_i$$$ such that $$$1 \le l'_i  \lt  l_i$$$.
Replace $$$r_i$$$ with a strictly larger integer $$$r'_i$$$ such that $$$r_i  \lt  r'_i \le x_i$$$.
The player who cannot make a valid move loses the game.
The game setup proceeds in two steps:
First, Alice chooses the values of $$$l_1$$$ and $$$r_1$$$ to determine the first interval. It must be a valid interval within $$$[1, x_1]$$$.
Then, the second interval $$$[l_2, r_2]$$$ is chosen
uniformly at random
from all possible valid intervals within $$$[1, x_2]$$$.
Once the intervals are chosen, the game begins with
Alice moving first
.
Assuming both Alice and Bob play optimally, Alice wants to choose the initial interval $$$[l_1, r_1]$$$ to maximize her probability of winning. Your task is to find such an interval. If there are multiple optimal intervals, you may output any one of them.","['bitmasks', 'combinatorics', 'constructive algorithms', 'dp', 'games', 'greedy', 'math', 'probabilities']",8,bitmasks,1340,219,1,13,2,6.466144724237619,0,0,0,0,1,0,0,0,0,0
